Fecha,Equipo,Categoría,Descripción,Importe EUR,Responsable
2024-02-01,Marketing,Software,Adobe Creative Cloud,54.99,María G.
2024-02-01,Marketing,Software,Canva Pro,12.99,María G.
2024-02-01,Operaciones,Suministros,Café y agua oficina,45.00,Admin
2024-02-01,Operaciones,Servicios,Servicio limpieza,320.00,Admin
2024-02-05,Ventas,Viaje,Tren Madrid-Valencia,78.00,Pedro S.
2024-02-05,Ventas,Alojamiento,Hotel Valencia 1 noche,95.00,Pedro S.
2024-02-06,Ventas,Comida cliente,Comida cliente Valencia,72.00,Pedro S.
2024-02-14,Ventas,Material,Material presentación,35.00,Oficina
2024-02-28,Marketing,Publicidad,LinkedIn Ads febrero,380.00,María G.
2024-02-28,Marketing,Publicidad,Instagram Ads febrero,210.00,María G.
2024-02-20,Operaciones,Suministros,Material de oficina,98.00,Admin
